,q0001,q0002,q0009,q0025,q0026,q0028,q0029,q0030
91,Somewhat masculine,Somewhat important,not_employed,True,straight,white,college_graduate,northeast
92,Somewhat masculine,Not too important,employed,True,straight,white,college_graduate,southwest
93,Somewhat masculine,Not too important,employed,False,not_straight,white,college_graduate,northeast
94,Very masculine,Somewhat important,not_employed,False,straight,not_white,college_graduate,west
95,Somewhat masculine,Not too important,employed,True,straight,white,graduate,southeast
96,Not very masculine,Not at all important,employed,False,not_straight,white,high_school,southeast
97,Somewhat masculine,Somewhat important,not_employed,True,straight,white,high_school,southeast
98,Very masculine,Not at all important,not_employed,True,straight,white,high_school,southwest
99,Somewhat masculine,Not too important,not_employed,True,straight,white,graduate,west
100,Somewhat masculine,Somewhat important,employed,True,straight,white,graduate,southeast
101,Somewhat masculine,Not at all important,not_employed,True,straight,white,graduate,west
102,Very masculine,Very important,not_employed,True,straight,white,high_school,northeast
103,Somewhat masculine,Not too important,employed,True,straight,white,high_school,southwest
104,Very masculine,Somewhat important,not_employed,False,straight,white,high_school,southeast
105,Somewhat masculine,Not at all important,employed,True,straight,not_white,no_high_school,southwest
106,Not very masculine,Not too important,not_employed,True,straight,white,graduate,midwest
107,Very masculine,Not too important,not_employed,False,not_straight,white,graduate,northeast
108,Somewhat masculine,Not too important,employed,True,straight,white,graduate,southwest
109,Somewhat masculine,Very important,employed,False,straight,white,graduate,west
110,Very masculine,Very important,not_employed,True,straight,white,high_school,southeast
111,Somewhat masculine,Not too important,employed,True,straight,white,college_graduate,west
112,Somewhat masculine,Somewhat important,employed,True,not_straight,white,graduate,west
113,Somewhat masculine,Somewhat important,employed,True,straight,not_white,college_graduate,southeast
114,Very masculine,Not at all important,employed,False,straight,not_white,college_graduate,northeast
115,Very masculine,Very important,not_employed,True,straight,white,graduate,northeast
116,Very masculine,Somewhat important,employed,True,straight,not_white,high_school,southwest
117,Not at all masculine,Not too important,employed,False,not_straight,not_white,high_school,midwest
118,Somewhat masculine,Somewhat important,not_employed,False,straight,white,high_school,southwest
119,Somewhat masculine,Not too important,employed,False,not_straight,not_white,college_graduate,southeast
120,Very masculine,Somewhat important,not_employed,True,straight,white,college_graduate,southeast
121,Very masculine,Not too important,not_employed,True,straight,white,high_school,midwest
122,Somewhat masculine,Somewhat important,not_employed,True,straight,white,high_school,southeast
123,Somewhat masculine,Not too important,employed,True,straight,white,high_school,west
124,Somewhat masculine,Not at all important,not_employed,False,straight,white,college_graduate,northeast
125,Very masculine,Somewhat important,not_employed,True,straight,white,high_school,west
126,Somewhat masculine,Very important,employed,False,not_straight,white,high_school,southwest
127,Not very masculine,Somewhat important,employed,True,straight,white,high_school,southwest
128,Very masculine,Not too important,not_employed,True,straight,white,high_school,southeast
129,Very masculine,Somewhat important,employed,True,straight,white,high_school,midwest
130,Somewhat masculine,Somewhat important,employed,True,straight,white,college_graduate,midwest
131,Somewhat masculine,Not too important,not_employed,True,straight,white,high_school,west
132,Not very masculine,Not at all important,employed,False,straight,white,high_school,midwest
133,Somewhat masculine,Not too important,not_employed,False,straight,white,graduate,southeast
134,Somewhat masculine,Somewhat important,not_employed,True,straight,white,college_graduate,west
135,Very masculine,Not too important,employed,True,straight,white,high_school,southeast
136,Somewhat masculine,Not too important,not_employed,False,straight,white,graduate,west
137,Very masculine,Somewhat important,not_employed,True,straight,white,high_school,west
138,Very masculine,Somewhat important,employed,False,not_straight,white,college_graduate,northeast
139,Not at all masculine,Not at all important,not_employed,False,not_straight,white,high_school,west
140,Not very masculine,Not at all important,employed,False,straight,white,high_school,midwest
141,Very masculine,Somewhat important,not_employed,False,straight,white,no_high_school,northeast
142,Somewhat masculine,Very important,employed,True,straight,not_white,high_school,southeast
143,Very masculine,Somewhat important,employed,True,straight,white,college_graduate,northeast
144,Not very masculine,Not at all important,not_employed,False,straight,not_white,college_graduate,west
145,No answer,Not at all important,employed,True,straight,not_white,graduate,northeast
146,Somewhat masculine,Not too important,not_employed,True,straight,white,college_graduate,northeast
147,Somewhat masculine,Somewhat important,not_employed,True,straight,white,high_school,midwest
148,Somewhat masculine,Somewhat important,employed,True,straight,not_white,college_graduate,southeast
149,Very masculine,Somewhat important,employed,False,straight,not_white,graduate,northeast
150,Somewhat masculine,Not too important,employed,False,straight,white,high_school,southwest
151,Somewhat masculine,Somewhat important,employed,True,straight,not_white,high_school,southeast
152,Somewhat masculine,Not too important,employed,True,straight,white,graduate,northeast
153,Not at all masculine,Not at all important,employed,True,straight,white,high_school,southwest
154,Very masculine,Somewhat important,employed,True,straight,white,high_school,midwest
155,Not very masculine,Not at all important,employed,False,straight,white,college_graduate,southwest
156,Somewhat masculine,Not too important,not_employed,True,straight,white,college_graduate,southeast
157,Somewhat masculine,Not too important,employed,True,straight,white,graduate,midwest
158,Somewhat masculine,Not too important,employed,False,straight,white,graduate,midwest
159,Somewhat masculine,No answer,employed,True,straight,white,graduate,southeast
160,Not very masculine,Not at all important,employed,True,straight,white,high_school,northeast
161,Very masculine,Not at all important,employed,False,straight,white,college_graduate,northeast
162,Somewhat masculine,Somewhat important,not_employed,True,not_straight,white,graduate,west
163,Very masculine,Somewhat important,employed,False,straight,not_white,high_school,southwest
164,Not very masculine,Not too important,employed,True,straight,not_white,high_school,midwest
165,Somewhat masculine,Somewhat important,not_employed,True,straight,not_white,college_graduate,southeast
166,Very masculine,Not at all important,employed,True,straight,not_white,college_graduate,southeast
167,Somewhat masculine,Not at all important,not_employed,False,straight,not_white,high_school,northeast
168,Somewhat masculine,Very important,employed,True,not_straight,white,graduate,southwest
169,Very masculine,Not too important,not_employed,True,not_straight,white,graduate,midwest
170,Somewhat masculine,Somewhat important,not_employed,False,straight,white,high_school,northeast
171,Somewhat masculine,Somewhat important,employed,False,straight,not_white,graduate,southwest
172,Somewhat masculine,Not too important,not_employed,False,not_straight,white,graduate,west
173,Very masculine,Not too important,not_employed,True,straight,white,graduate,west
174,Somewhat masculine,Not too important,employed,False,not_straight,not_white,college_graduate,west
175,Very masculine,Very important,not_employed,True,not_straight,white,graduate,west
176,Somewhat masculine,Somewhat important,employed,False,straight,white,high_school,southwest
177,Not at all masculine,Somewhat important,employed,False,not_straight,white,college_graduate,southeast
178,Somewhat masculine,Not too important,employed,False,not_straight,white,college_graduate,midwest
179,Somewhat masculine,Not at all important,employed,True,straight,not_white,graduate,northeast
180,Somewhat masculine,Not too important,employed,True,straight,white,college_graduate,northeast
181,Somewhat masculine,Not too important,employed,True,straight,white,college_graduate,midwest
182,Very masculine,Somewhat important,employed,False,straight,white,high_school,west
183,Very masculine,Not at all important,employed,False,not_straight,white,high_school,southwest
184,Very masculine,Somewhat important,employed,True,straight,white,high_school,west
185,Somewhat masculine,Somewhat important,not_employed,True,straight,white,college_graduate,west
186,Somewhat masculine,Not too important,employed,True,straight,white,college_graduate,west
187,Very masculine,Very important,employed,True,straight,white,high_school,southeast
188,Not very masculine,Not too important,not_employed,False,not_straight,white,college_graduate,southeast
189,Not at all masculine,Not at all important,not_employed,False,straight,white,college_graduate,west
190,Very masculine,Very important,not_employed,True,straight,white,high_school,west
191,Very masculine,Very important,not_employed,True,straight,white,graduate,northeast
192,Somewhat masculine,Somewhat important,employed,True,straight,white,graduate,southwest
193,Not very masculine,Somewhat important,employed,True,straight,white,graduate,southwest
194,Very masculine,Somewhat important,not_employed,True,straight,white,graduate,southeast
195,Somewhat masculine,Somewhat important,not_employed,True,straight,white,college_graduate,southwest
196,Somewhat masculine,Somewhat important,not_employed,True,straight,white,high_school,southeast
197,Very masculine,Somewhat important,employed,True,straight,white,college_graduate,southeast
198,Very masculine,Very important,employed,True,straight,not_white,high_school,southwest
199,Not very masculine,Somewhat important,not_employed,False,straight,not_white,high_school,west
200,Very masculine,Very important,employed,True,straight,white,high_school,west
201,Somewhat masculine,Somewhat important,not_employed,True,straight,white,graduate,west
202,Somewhat masculine,Not too important,not_employed,False,straight,white,college_graduate,southeast
203,Somewhat masculine,Not too important,employed,False,straight,white,graduate,northeast
204,Somewhat masculine,Not at all important,employed,True,straight,white,high_school,midwest
205,Somewhat masculine,Somewhat important,not_employed,True,straight,white,graduate,northeast
206,Very masculine,Somewhat important,employed,True,straight,not_white,graduate,southwest
207,Very masculine,Not at all important,employed,True,straight,white,high_school,midwest
208,Somewhat masculine,Not too important,employed,True,straight,white,graduate,northeast
209,Very masculine,Not too important,not_employed,True,straight,white,high_school,west
210,Somewhat masculine,Not too important,not_employed,False,straight,white,high_school,northeast
211,Somewhat masculine,Not too important,not_employed,True,straight,white,high_school,northeast
212,Very masculine,Very important,employed,True,straight,white,high_school,west
213,Somewhat masculine,Somewhat important,employed,True,straight,white,graduate,southwest
214,Not at all masculine,Not at all important,employed,True,straight,white,high_school,northeast
215,Somewhat masculine,Not at all important,not_employed,True,straight,white,graduate,west
216,Very masculine,Somewhat important,not_employed,True,straight,white,graduate,west
217,Somewhat masculine,Not too important,employed,True,straight,white,college_graduate,west
218,Very masculine,Somewhat important,not_employed,True,straight,white,college_graduate,midwest
219,Not very masculine,Not at all important,employed,False,not_straight,white,college_graduate,west
220,Very masculine,Very important,employed,True,straight,white,high_school,southeast
221,Very masculine,Somewhat important,employed,True,straight,white,graduate,midwest
222,Somewhat masculine,Somewhat important,employed,True,straight,white,college_graduate,southeast
223,Somewhat masculine,Somewhat important,not_employed,True,straight,white,high_school,midwest
224,Somewhat masculine,Somewhat important,not_employed,True,straight,white,graduate,northeast
225,Very masculine,Somewhat important,employed,True,straight,not_white,high_school,southeast
226,Somewhat masculine,Not too important,employed,True,straight,white,high_school,west
227,Somewhat masculine,Somewhat important,employed,True,straight,white,college_graduate,midwest
228,Somewhat masculine,Somewhat important,employed,False,straight,white,graduate,northeast
229,Very masculine,Somewhat important,employed,True,straight,white,high_school,midwest
230,Very masculine,Very important,not_employed,True,not_straight,not_white,college_graduate,southeast
231,Somewhat masculine,Not too important,employed,True,straight,white,college_graduate,northeast
232,Very masculine,Somewhat important,not_employed,False,not_straight,white,graduate,west
233,Very masculine,Somewhat important,employed,False,straight,white,graduate,southeast
234,Somewhat masculine,Somewhat important,employed,True,straight,white,college_graduate,midwest
235,Very masculine,Somewhat important,not_employed,False,straight,white,graduate,midwest
236,Somewhat masculine,Not too important,employed,True,straight,white,graduate,west
237,Somewhat masculine,Not too important,employed,False,straight,white,college_graduate,west
238,Very masculine,Very important,employed,False,straight,white,graduate,west
239,Somewhat masculine,Somewhat important,not_employed,False,straight,white,graduate,northeast
240,Very masculine,Not too important,employed,True,straight,white,college_graduate,northeast
241,Very masculine,Somewhat important,employed,True,straight,white,college_graduate,west
242,Somewhat masculine,Not too important,not_employed,False,straight,white,college_graduate,southeast
243,Somewhat masculine,Somewhat important,employed,False,not_straight,not_white,college_graduate,midwest
244,Somewhat masculine,Somewhat important,employed,False,not_straight,not_white,college_graduate,west
245,Somewhat masculine,Not too important,not_employed,True,straight,white,graduate,west
246,Very masculine,Not too important,not_employed,False,straight,white,graduate,west
247,Somewhat masculine,Very important,employed,True,straight,white,college_graduate,west
248,Very masculine,Very important,not_employed,True,straight,white,college_graduate,northeast
249,Very masculine,Very important,not_employed,False,straight,white,graduate,west
250,Somewhat masculine,Very important,not_employed,True,straight,white,high_school,midwest
251,Somewhat masculine,Somewhat important,employed,True,straight,white,college_graduate,southeast
252,Very masculine,Somewhat important,employed,False,straight,white,college_graduate,southeast
253,Somewhat masculine,Somewhat important,employed,False,straight,white,high_school,southeast
254,Very masculine,Not too important,employed,False,straight,white,college_graduate,southwest
255,Very masculine,Not too important,not_employed,True,not_straight,white,high_school,west
256,Not very masculine,Not too important,not_employed,True,straight,white,graduate,southeast
257,Not very masculine,Not at all important,employed,True,straight,white,college_graduate,west
258,Somewhat masculine,Not too important,employed,True,straight,white,high_school,midwest
259,Somewhat masculine,Not too important,not_employed,False,straight,white,college_graduate,northeast
260,Somewhat masculine,Not too important,not_employed,True,straight,white,high_school,southeast
261,Very masculine,Very important,employed,True,straight,white,high_school,midwest
262,Somewhat masculine,Not too important,not_employed,True,straight,white,college_graduate,midwest
263,Very masculine,Somewhat important,employed,False,straight,white,college_graduate,southeast
264,Very masculine,Very important,employed,True,straight,white,college_graduate,southwest
265,Not very masculine,Not too important,employed,True,straight,white,graduate,northeast
266,Not very masculine,Not too important,employed,False,not_straight,white,college_graduate,west
267,Somewhat masculine,Very important,not_employed,False,not_straight,white,college_graduate,northeast
268,Somewhat masculine,Somewhat important,employed,True,straight,white,college_graduate,west
269,Somewhat masculine,Somewhat important,not_employed,True,straight,white,college_graduate,midwest
270,Somewhat masculine,Very important,not_employed,False,straight,white,college_graduate,southeast
271,Somewhat masculine,Not too important,employed,True,straight,white,college_graduate,midwest
272,Somewhat masculine,Somewhat important,employed,True,straight,not_white,college_graduate,southeast
273,Very masculine,Somewhat important,employed,True,straight,white,college_graduate,west
274,Not very masculine,Not too important,employed,True,straight,not_white,college_graduate,west
275,Very masculine,Not too important,not_employed,True,straight,white,graduate,southeast
276,Very masculine,Not too important,employed,False,straight,white,graduate,west
277,Somewhat masculine,Not too important,not_employed,True,straight,white,college_graduate,southwest
278,Somewhat masculine,Somewhat important,not_employed,False,straight,white,college_graduate,west
279,Somewhat masculine,Somewhat important,employed,False,straight,white,college_graduate,southeast
280,Very masculine,Not too important,employed,False,straight,white,graduate,west
281,Very masculine,Not at all important,not_employed,True,straight,white,college_graduate,midwest
282,Very masculine,Not too important,employed,True,straight,white,high_school,midwest
283,Not very masculine,Somewhat important,employed,True,not_straight,white,graduate,southeast
284,Somewhat masculine,Somewhat important,employed,False,straight,white,college_graduate,midwest
285,Somewhat masculine,Very important,not_employed,True,straight,not_white,high_school,west
286,Very masculine,Somewhat important,not_employed,True,straight,white,graduate,southeast
287,Somewhat masculine,Not too important,employed,True,straight,white,graduate,northeast
288,Somewhat masculine,Very important,employed,False,not_straight,white,high_school,southeast
289,Somewhat masculine,Not too important,employed,True,straight,white,graduate,northeast
290,Somewhat masculine,Somewhat important,not_employed,True,straight,white,college_graduate,northeast
291,Not very masculine,Somewhat important,employed,True,not_straight,white,high_school,southeast
292,Somewhat masculine,Somewhat important,employed,True,straight,white,college_graduate,southeast
293,Somewhat masculine,Somewhat important,employed,False,straight,white,graduate,northeast
294,Very masculine,Somewhat important,employed,False,straight,white,college_graduate,northeast
295,Very masculine,Somewhat important,employed,True,not_straight,white,college_graduate,west
296,Somewhat masculine,Not at all important,not_employed,False,straight,white,college_graduate,midwest
297,Somewhat masculine,Not too important,not_employed,False,not_straight,not_white,college_graduate,west
298,Very masculine,Very important,employed,True,straight,white,graduate,northeast
299,Very masculine,Not at all important,not_employed,False,not_straight,white,high_school,southeast
300,Very masculine,Very important,not_employed,False,straight,not_white,high_school,midwest
301,Very masculine,Not too important,employed,True,not_straight,not_white,graduate,midwest
302,Not very masculine,Not too important,employed,False,not_straight,white,high_school,northeast
303,Very masculine,Very important,not_employed,True,straight,white,college_graduate,midwest
304,Not very masculine,Not too important,not_employed,True,straight,white,college_graduate,west
305,Very masculine,Somewhat important,employed,False,straight,white,graduate,west
306,Very masculine,Not too important,employed,False,straight,white,college_graduate,southeast
307,Somewhat masculine,Somewhat important,employed,True,straight,white,college_graduate,northeast
308,Very masculine,Not at all important,employed,True,straight,not_white,graduate,northeast
309,Somewhat masculine,Not too important,not_employed,False,not_straight,white,high_school,west
310,Very masculine,Not at all important,not_employed,False,straight,white,high_school,west
311,Somewhat masculine,Somewhat important,employed,True,straight,white,graduate,northeast
312,Very masculine,Very important,not_employed,True,straight,white,high_school,west
313,Somewhat masculine,Somewhat important,not_employed,True,straight,white,college_graduate,southwest
314,Somewhat masculine,Not too important,not_employed,True,straight,white,college_graduate,midwest
315,Somewhat masculine,Somewhat important,not_employed,True,straight,white,college_graduate,west
316,Somewhat masculine,Not too important,employed,True,straight,white,high_school,northeast
317,Very masculine,Not too important,not_employed,True,straight,white,high_school,midwest
318,Not at all masculine,Not at all important,not_employed,False,not_straight,white,high_school,northeast
319,Somewhat masculine,Somewhat important,employed,True,straight,not_white,high_school,west
320,Very masculine,Somewhat important,employed,True,straight,white,college_graduate,northeast
321,Somewhat masculine,Not at all important,not_employed,True,straight,white,no_high_school,west
322,Somewhat masculine,Not at all important,not_employed,False,straight,white,high_school,southeast
323,Somewhat masculine,Not too important,employed,True,straight,white,college_graduate,northeast
324,Somewhat masculine,Somewhat important,employed,True,straight,not_white,high_school,southeast
325,Somewhat masculine,Not too important,employed,True,straight,white,high_school,southwest
326,Somewhat masculine,Not too important,not_employed,True,straight,not_white,high_school,northeast
327,Somewhat masculine,Somewhat important,not_employed,True,straight,white,graduate,midwest
328,Very masculine,Somewhat important,not_employed,True,straight,white,high_school,west
329,Somewhat masculine,Not at all important,not_employed,False,not_straight,white,high_school,midwest
330,Very masculine,Somewhat important,not_employed,True,straight,white,graduate,west
331,Somewhat masculine,Somewhat important,employed,True,straight,white,college_graduate,midwest
332,Somewhat masculine,Somewhat important,not_employed,True,straight,white,high_school,northeast
333,Somewhat masculine,Not too important,not_employed,False,no_answer,white,graduate,southeast
334,Very masculine,Very important,not_employed,False,straight,white,high_school,midwest
335,Very masculine,Not at all important,not_employed,False,not_straight,white,college_graduate,southeast
336,Not at all masculine,Not at all important,employed,True,not_straight,white,no_high_school,southeast
337,Somewhat masculine,Not too important,not_employed,True,straight,white,graduate,southeast
338,Somewhat masculine,Somewhat important,employed,True,straight,white,graduate,midwest
339,Somewhat masculine,Somewhat important,not_employed,True,no_answer,white,graduate,midwest
340,Not very masculine,Somewhat important,employed,True,not_straight,not_white,graduate,midwest
341,Somewhat masculine,Not too important,not_employed,True,straight,white,graduate,southeast
342,Somewhat masculine,Not too important,employed,True,straight,white,graduate,northeast
343,Not very masculine,Not at all important,not_employed,True,straight,white,graduate,midwest
344,Somewhat masculine,Somewhat important,not_employed,True,straight,white,graduate,southeast
345,Very masculine,Somewhat important,employed,True,straight,white,college_graduate,northeast
346,Very masculine,Somewhat important,employed,True,straight,not_white,high_school,southwest
347,Very masculine,Very important,not_employed,False,straight,white,graduate,west
348,Very masculine,Not at all important,employed,True,straight,not_white,high_school,southwest
349,Very masculine,Very important,employed,True,straight,white,college_graduate,west
350,Very masculine,Not at all important,not_employed,True,straight,white,high_school,southeast
351,Somewhat masculine,Somewhat important,not_employed,False,straight,white,graduate,west
352,Very masculine,Somewhat important,employed,True,straight,white,college_graduate,midwest
353,Not at all masculine,Not at all important,not_employed,True,not_straight,not_white,graduate,northeast
354,Somewhat masculine,Somewhat important,not_employed,True,straight,white,graduate,midwest
355,Very masculine,Somewhat important,not_employed,True,straight,white,graduate,southwest
356,Somewhat masculine,Somewhat important,employed,True,straight,white,graduate,west
357,Somewhat masculine,Somewhat important,employed,True,straight,white,college_graduate,southeast
358,Very masculine,Somewhat important,employed,False,straight,white,high_school,west
359,Somewhat masculine,Not too important,not_employed,True,straight,white,college_graduate,northeast
360,Somewhat masculine,Somewhat important,not_employed,False,straight,white,graduate,northeast
361,Somewhat masculine,Somewhat important,employed,False,straight,white,college_graduate,west
362,Very masculine,Very important,employed,True,straight,white,high_school,west
363,Somewhat masculine,Not too important,employed,True,straight,white,high_school,midwest
364,Somewhat masculine,Not too important,employed,True,straight,white,graduate,northeast
365,Not very masculine,Not at all important,not_employed,True,straight,white,high_school,west
366,Very masculine,Very important,employed,True,straight,white,high_school,southwest
367,Very masculine,Very important,employed,True,straight,white,high_school,west
368,Very masculine,Very important,employed,False,straight,not_white,high_school,southeast
369,Somewhat masculine,Somewhat important,not_employed,True,straight,white,high_school,west
370,Somewhat masculine,Not too important,employed,True,straight,not_white,graduate,west
371,Somewhat masculine,Somewhat important,not_employed,True,not_straight,white,high_school,southeast
372,Somewhat masculine,Very important,employed,True,straight,not_white,high_school,southeast
373,Somewhat masculine,Somewhat important,not_employed,False,straight,white,high_school,southeast
374,Somewhat masculine,Not at all important,not_employed,True,straight,white,high_school,northeast
375,Very masculine,Not at all important,not_employed,True,straight,white,graduate,northeast
376,Somewhat masculine,Not too important,employed,True,straight,white,college_graduate,midwest
377,Somewhat masculine,Somewhat important,employed,False,straight,white,high_school,west
378,No answer,Somewhat important,not_employed,False,straight,white,graduate,midwest
379,Not very masculine,Somewhat important,not_employed,True,straight,white,graduate,southwest
380,Somewhat masculine,Not too important,employed,True,straight,white,college_graduate,southwest
381,Very masculine,Somewhat important,not_employed,True,straight,white,high_school,northeast
382,Very masculine,Not too important,not_employed,True,straight,white,graduate,midwest
383,Somewhat masculine,Somewhat important,not_employed,True,straight,white,high_school,northeast
384,Somewhat masculine,Somewhat important,not_employed,True,straight,white,high_school,southeast
385,Very masculine,Very important,employed,True,straight,white,college_graduate,midwest
386,Very masculine,Not too important,not_employed,True,straight,white,college_graduate,west
387,Somewhat masculine,Not at all important,not_employed,False,not_straight,white,college_graduate,west
388,Very masculine,Not too important,employed,True,straight,white,graduate,west
389,Very masculine,Not too important,employed,False,not_straight,white,college_graduate,northeast
390,Very masculine,Not too important,employed,True,straight,not_white,high_school,southwest
391,Not very masculine,Not too important,employed,True,straight,white,college_graduate,southeast
392,Very masculine,Very important,not_employed,True,straight,white,graduate,southwest
393,Somewhat masculine,Somewhat important,employed,True,straight,white,graduate,west
394,Not very masculine,Somewhat important,employed,False,straight,not_white,high_school,west
395,Somewhat masculine,Somewhat important,employed,True,straight,white,college_graduate,west
396,Somewhat masculine,Somewhat important,not_employed,True,straight,white,high_school,southeast
